CODE_RPG;LIBELLE_RPG;CODE_GROUPE_RPG;LIBELLE_GROUPE_RPG;CODE_CPS;LIBELLE_CPS;PBS_RHONE_ALPES;PBS_PACA;SCORE_IQE_RHONE_ALPES;SCORE_IQE_PACA;NIVEAU_IQE_RHONE_ALPES;NIVEAU_IQE_PACA
HPC;Horticulture ornementale;25;Légumes ou fleurs;N0000T;Fleurs et plantes ornementales (non compris pépinières) de plein air ou sous abri bas (non accessible);112694.4;112694.4;5;5;Tres haute valeur economique;Tres haute valeur economique
PEP;Pépinière (plants laissés en terre plus dun an);28;Divers;L0000T;Pépinières;30952.0;30952.0;5;5;Tres haute valeur economique;Tres haute valeur economique
PEV;Pépinière (plants laissés en terre moins dun an);28;Divers;L0000T;Pépinières;30952.0;30952.0;5;5;Tres haute valeur economique;Tres haute valeur economique
CHU;Chou;25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
CAR;Carotte;25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
AIL;Aïl;25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
LBF;Laitue, endive et autres salades;25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
EPI;Epinard, oseille et bette;25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
FRA;Fraise (en pleine terre);25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
FLA;Autre légume ou fruit annuel;25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
FLP;Autre légume ou fruit pérenne (hors petit fruit à baie);25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
MDI;Maraîchage diversifié (plusieurs espèces de fruits et légumes majoritairement non pérennes);25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
CCN;Concombre, cornichon et courgette;25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
ART;Artichaut;25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
POR;Poireau;25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
POT;Potiron, citrouille et autres courges;25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
NVT;Navet, rutabaga et autres légumes racines (hors carotte, radis, betterave);25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
OIG;Oignon et échalote;25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
