CODE_CULTURE;LIBELLE_CULTURE;CODE_GROUPE_CULTURE;LIBELLE_GROUPE_CULTURE;ACTIF
BTH;Blé tendre d’hiver;1;Blé tendre;oui
BTP;Blé tendre de printemps;1;Blé tendre;oui
MID;Maïs doux;2;Maïs grain et ensilage;non
MIE;Maïs ensilage;2;Maïs grain et ensilage;non
MIS;Maïs (hors maïs doux);2;Maïs grain et ensilage;non
ORH;Orge d'hiver;3;Orge;oui
ORP;Orge de printemps;3;Orge;oui
AVH;Avoine d’hiver;4;Autres céréales;oui
AVP;Avoine de printemps;4;Autres céréales;oui
BDH;Blé dur d’hiver;4;Autres céréales;oui
BDP;Blé dur de printemps;4;Autres céréales;oui
BDT;Blé dur de printemps semé tardivement (après le 31/05);4;Autres céréales;non
CAG;Autre céréale ou pseudo-céréale secondaire de printemps (alpiste, quinoa, chia, …);4;Autres céréales;oui
CAH;Autre céréale ou pseudo-céréale secondaire d'hiver;4;Autres céréales;oui
CGF;Autre céréale de genre Fagopyrum;4;Autres céréales;non
CGH;Autre céréale de genre Phalaris;4;Autres céréales;non
CGO;Autre céréale de genre Sorghum;4;Autres céréales;non
CGP;Autre céréale de genre Panicum;4;Autres céréales;non
CGS;Autre céréale de genre Setaria;4;Autres céréales;non
CHA;Autre céréale d’hiver de genre Avena;4;Autres céréales;non
CHH;Autre céréale d’hiver de genre Hordeum;4;Autres céréales;non
CHS;Autre céréale d’hiver de genre Secale;4;Autres céréales;non
CHT;Autre céréale d’hiver de genre Triticum;4;Autres céréales;non
CPA;Autre céréale de printemps de genre Avena;4;Autres céréales;non
CPH;Autre céréale de printemps de genre Hordeum;4;Autres céréales;non
CPS;Autre céréale de printemps de genre Secale;4;Autres céréales;non
CPT;Autre céréale de printemps de genre Triticum;4;Autres céréales;non
CPZ;Autre céréale de printemps de genre Zea;4;Autres céréales;non
EPE;Epeautre (petit épeautre ou engrain et grand épeautre);4;Autres céréales;oui
MCR;Mélange de céréales ou pseudo-céréales d'hiver entre elles;4;Autres céréales;oui
MCS;Mélange de céréales ou pseudo-céréales de printemps entre elles;4;Autres céréales;oui
MLT;Millet;4;Autres céréales;oui
SGH;Seigle d’hiver;4;Autres céréales;oui
SGP;Seigle de printemps;4;Autres céréales;oui
SOG;Sorgho;4;Autres céréales;oui
SRS;Sarrasin;4;Autres céréales;oui
TTH;Triticale d’hiver;4;Autres céréales;oui
TTP;Triticale de printemps;4;Autres céréales;oui
CZH;Colza d’hiver;5;Colza;oui
CZP;Colza de printemps;5;Colza;oui
TRN;Tournesol;6;Tournesol;oui
ARA;Arachide;7;Autres oléagineux;oui
LIH;Lin non textile d’hiver;7;Autres oléagineux;non
LIP;Lin non textile de printemps;7;Autres oléagineux;non
MOL;Mélange d’oléagineux;7;Autres oléagineux;non
NVE;Navette d’été;7;Autres oléagineux;non
